CV i vs E Scan 1,,CV i vs E Scan 2,,CV i vs E Scan 3,
V,µA,V,µA,V,µA
0.0398049,-0.282129,0.0398049,-0.279401,0.0398049,-0.279192
0.0298048,-0.287841,0.0298048,-0.28788,0.0298048,-0.279697
0.0198048,-0.29517,0.0198048,-0.291508,0.0198048,-0.287889
0.00980476,-0.297021,0.00980476,-0.293654,0.00980476,-0.298012
-0.000195275,-0.30785,-0.000195275,-0.30351,-0.000195275,-0.303515
-0.0101953,-0.314411,-0.0101953,-0.307831,-0.0101953,-0.305647
-0.0201954,-0.317668,-0.0201954,-0.316719,-0.0201954,-0.313348
-0.0301954,-0.322789,-0.0301954,-0.318455,-0.0301954,-0.316333
-0.0401954,-0.332059,-0.0401954,-0.325903,-0.0401954,-0.324487
-0.0501955,-0.335344,-0.0501955,-0.331501,-0.0501955,-0.326794
-0.0601955,-0.342344,-0.0601955,-0.337643,-0.0601955,-0.332254
-0.0701174,-0.345763,-0.0701174,-0.343369,-0.0701174,-0.338558
-0.0801175,-0.350636,-0.0801175,-0.350498,-0.0801175,-0.343732
-0.0901175,-0.353092,-0.0901175,-0.353936,-0.0901175,-0.348638
-0.100118,-0.361051,-0.100118,-0.355181,-0.100118,-0.353812
-0.110118,-0.362824,-0.110118,-0.363735,-0.110118,-0.360283
-0.120118,-0.366577,-0.120118,-0.363339,-0.120118,-0.361294
-0.130118,-0.373911,-0.130118,-0.375113,-0.130118,-0.368027
-0.140118,-0.379128,-0.140118,-0.377335,-0.140118,-0.371326
-0.150118,-0.384983,-0.150118,-0.381154,-0.150118,-0.373897
-0.160118,-0.388173,-0.160118,-0.389093,-0.160118,-0.388121
-0.170118,-0.391258,-0.170118,-0.395617,-0.170118,-0.391664
-0.180118,-0.396947,-0.180118,-0.398921,-0.180118,-0.390495
-0.190118,-0.403337,-0.190118,-0.404924,-0.190118,-0.397958
-0.200118,-0.405006,-0.200118,-0.407461,-0.200118,-0.403561
-0.21004,-0.41007,-0.21004,-0.413016,-0.21004,-0.40914
-0.22004,-0.421123,-0.22004,-0.419702,-0.22004,-0.418324
-0.23004,-0.424942,-0.23004,-0.424852,-0.23004,-0.425138
-0.24004,-0.430435,-0.24004,-0.435118,-0.24004,-0.433983
-0.25004,-0.439643,-0.25004,-0.437087,-0.25004,-0.440225
-0.26004,-0.444645,-0.26004,-0.447401,-0.26004,-0.449066
-0.27004,-0.451755,-0.27004,-0.455622,-0.27004,-0.45783
-0.28004,-0.461578,-0.28004,-0.464062,-0.28004,-0.463108
-0.29004,-0.468964,-0.29004,-0.476465,-0.29004,-0.475654
-0.30004,-0.478725,-0.30004,-0.485348,-0.30004,-0.483331
-0.31004,-0.485982,-0.31004,-0.492429,-0.31004,-0.495953
-0.32004,-0.493822,-0.32004,-0.50024,-0.32004,-0.504531
-0.33004,-0.502328,-0.33004,-0.51377,-0.33004,-0.512101
-0.34004,-0.516011,-0.34004,-0.529124,-0.34004,-0.527837
-0.349962,-0.523164,-0.349962,-0.536182,-0.349962,-0.535609
-0.359962,-0.541522,-0.359962,-0.552537,-0.359962,-0.557163
-0.369962,-0.556257,-0.369962,-0.568082,-0.369962,-0.568464
-0.379962,-0.565746,-0.379962,-0.584247,-0.379962,-0.588395
