% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sqrt(diag(C))", seed=135388, Tue Feb 21 18:30:07 2023, <python>{}</python>
1 10 0.0988461037731132 0 0 0.09766086035622472 0.09692992446375308 0.09894757748259861 0.09966818544439297 0.10055948026436748 0.0973257359835885 0.10070588175332491 0.09922827252221544 0.10635120113320992
2 20 0.09889970635153447 0 0 0.09612452858837078 0.09829738816729612 0.09803831786303221 0.09835304150081213 0.09957846846310471 0.09885629149483602 0.10460827925964947 0.09963653135777882 0.10553811978123478
3 30 0.10401525241299252 0 0 0.09930600557832836 0.10273597748779986 0.10125819391529042 0.10351744220937195 0.10600458565162589 0.10354743464048134 0.10812045252240207 0.1082903117677623 0.11626533342849685
4 40 0.107279916330677 0 0 0.10045407133514501 0.10602979491080756 0.10406983577488578 0.10082223173638666 0.10930319439614879 0.10687395219715073 0.10925493366486405 0.11107959926202077 0.12562213146218157
5 50 0.10600544863161751 0 0 0.10391604438268613 0.10130155474719797 0.1013393580002111 0.10015341405305168 0.1070381952442736 0.1042003270052878 0.10660882745087116 0.10805430692991064 0.12214575636993706
6 60 0.1048971004891233 0 0 0.10429502447103316 0.09778744086521036 0.10116191868600607 0.0965177406925187 0.10437320305223263 0.1029743480571299 0.10398091976564984 0.10760307332436378 0.11838570868695936
7 70 0.11805230457093238 0 0 0.12279492666531097 0.11043885898300743 0.11276101369334543 0.10335572129414604 0.12007447304109517 0.12165991178213764 0.11479638214265388 0.12190039355668313 0.13749008282387537
8 80 0.12152361849625583 0 0 0.12726651875982167 0.11101302902784736 0.11561127473629146 0.10290669622139839 0.12420903431697917 0.12642631294135936 0.11948515803754282 0.12782512741865765 0.14131538553920792
9 90 0.12950060693571128 0 0 0.14423310024043662 0.12071919603224959 0.12043675462942582 0.10339618879725039 0.13106028301203018 0.13613901064479172 0.12605475708315242 0.13261736734169158 0.15253470535801877
10 100 0.13704927017212237 0 0 0.15277775543410307 0.12536761428613571 0.12843147084889875 0.10771347145886283 0.14221862090328288 0.14550859121184892 0.14063298718662504 0.13448087178495297 0.16054292962802838
11 110 0.13198341528948895 0 0 0.14340006468683344 0.12004458148466565 0.12297311977461588 0.10315798176514344 0.13196052152609186 0.13893294662926342 0.13557608636402957 0.12879040982418366 0.15577865630947826
12 120 0.13230596969550398 0 0 0.14353848925395782 0.11953369379893387 0.11930950985480775 0.09974850721079175 0.13222309750427516 0.13826595262210475 0.1357497958315715 0.12432879003486656 0.1642907716121079
13 130 0.13686091321328547 0 0 0.14223392633310836 0.1224873228070283 0.12254406604301413 0.0979916437748697 0.1439975301205291 0.1412876529299476 0.13794718037631432 0.1280574371666109 0.1827994917264871
14 140 0.12781161331410612 0 0 0.13527171506591806 0.11444822490619447 0.11190442886662255 0.0899485600118352 0.134017230416196 0.13442268076966746 0.12828150250989226 0.1168098726019461 0.17067709915306464
15 150 0.11906129772744045 0 0 0.1246314186142387 0.10358919075762477 0.10400046886609396 0.0816254829884596 0.1211933438762418 0.12443002190348985 0.11907808646078022 0.10744010955677312 0.15848427416551944
16 160 0.1162008979706184 0 0 0.1200347377575104 0.10145497324375888 0.10334122051105696 0.07651096206917067 0.11719672539794213 0.12289388367220497 0.11640208867024802 0.10868887382220915 0.15402936747033918
17 170 0.1220125089286911 0 0 0.12688837763885488 0.10329186936882802 0.10813621179962579 0.07846819516810163 0.12145901337240675 0.14240578870994955 0.11565557644215045 0.11470186463286032 0.1624089236360774
18 180 0.12190156900747573 0 0 0.12942642881814478 0.10907697919882386 0.10891622489448256 0.07622462007561975 0.11917966024025496 0.1426029235275762 0.11443897034070409 0.11322694938789225 0.16184526778508543
