% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sqrt(diag(C))", seed=991475, Mon Feb 20 14:22:43 2023, <python>{}</python>
1 10 0.18053772379037028 0 0 0.17779682691078477 0.18070089075730852 0.17522002720812424 0.17875739359315895 0.1790207416150551 0.1783487449758393 0.17681091515011052 0.17929159975572817 0.17817993620175504
2 20 0.15774507799547285 0 0 0.15220807603017356 0.15747451938579463 0.1541704744761318 0.15588626805078803 0.15371856309307483 0.1510247515927509 0.149848415622914 0.15513881915541947 0.15088406053486153
3 30 0.14542710172112908 0 0 0.1396055588976587 0.14194135267144936 0.14298016218368773 0.14039194708595648 0.14227310185575756 0.13925648572534668 0.1358818180060851 0.142697247679985 0.13783764249700986
4 40 0.13003026019834638 0 0 0.11973111781083134 0.12626982481423674 0.12426876986203117 0.12792424295989577 0.12950219511743732 0.12202675464608978 0.11921509048083691 0.12684592261146882 0.11980793220386292
5 50 0.11544524358514129 0 0 0.10393920230548284 0.11167842831663059 0.11025588012431398 0.10737084366800174 0.11515153586769956 0.10621980209666007 0.10624869074582081 0.1102898723645349 0.10608145432225995
6 60 0.10471292024486248 0 0 0.09150354751447023 0.09978946646741353 0.09876451723166996 0.09678359849983 0.10385465232490095 0.096189535993625 0.09491718174890225 0.10046260674191569 0.09405558147137379
7 70 0.09905570482431555 0 0 0.08476413334353115 0.0928487152438877 0.09097047739992005 0.08945375381830724 0.09746536629220229 0.09098093800832495 0.09096090308365463 0.09425233756388099 0.0896624753715044
8 80 0.09055528985652085 0 0 0.07712998846585872 0.083655233789925 0.08285907680567982 0.08004065387012033 0.08902325036512623 0.08082400908770829 0.08281166550423082 0.08547144068732088 0.07880579719881142
9 90 0.08358189266032777 0 0 0.07093176598737966 0.07731793965746434 0.07301373119556667 0.07232194007272089 0.08330213771034925 0.0741416559108351 0.07622037353266033 0.07849624350192426 0.07069276371155443
10 100 0.07787904558786506 0 0 0.0659125260335073 0.07048177047978925 0.06619766162823609 0.06657667691061453 0.0772769365731133 0.06695086695932793 0.07323305215241929 0.07219513948689707 0.06469167300502539
11 110 0.07185929647517017 0 0 0.059766123910356996 0.06242061199162361 0.05917217863659295 0.060610397722019954 0.07071126141691854 0.061416812548240884 0.06667412484290913 0.06665605217867816 0.05833623477042937
12 120 0.06426460432058821 0 0 0.053198249894611534 0.05634548990629702 0.053065733565852875 0.054090992269802386 0.06192735708745856 0.054142781460733674 0.05888309849112052 0.0587810401297927 0.0495492699766959
13 130 0.05902909994480132 0 0 0.04856539373133459 0.05047767253736043 0.04807791784074086 0.04864142071035395 0.056845087313418884 0.049645334667975 0.053432075571271706 0.052619167032937134 0.0449822601031661
14 140 0.05394714019778499 0 0 0.04463024093133336 0.044667783156003414 0.04512414452688549 0.044036254800510856 0.05103078177730282 0.045445943235949096 0.04736405992917946 0.047047478638448464 0.0411679874600093
15 150 0.04775836295428792 0 0 0.03869474795208656 0.03790977666062443 0.039765282479178786 0.03863340619875225 0.04586674104809652 0.039159970316869595 0.04186624631740672 0.040850727312360356 0.03605595789871453
16 160 0.044037981147605175 0 0 0.03576231449783243 0.034676066039070204 0.03621349748265039 0.03534329931005885 0.042194836719849436 0.035038163516322114 0.036672348718521354 0.03686106864199976 0.03324043106384039
17 170 0.039479175159378044 0 0 0.03158693661773822 0.03117618995082909 0.0321906093229164 0.03033645675249434 0.03801033943739689 0.0310254138071416 0.03242420773869597 0.032512812036601155 0.028840635174847244
18 180 0.03571380472533939 0 0 0.028839114807800048 0.027920877460915386 0.029111633988274512 0.027172554827375312 0.03362106281692262 0.027609665429984453 0.028870051231716265 0.02947719783984561 0.026413164951141536
19 190 0.0316275365498812 0 0 0.025218631545558125 0.024328135741949516 0.025417588968578857 0.023961172942780808 0.02871476041240913 0.02421749979180247 0.02496113952427006 0.025904726180824268 0.023115820701397328
20 200 0.02850759422935271 0 0 0.0219555567206866 0.022137709789903155 0.02344983514195392 0.021646782033625727 0.02568864557127091 0.020739248045297608 0.02231854830836267 0.02213849780820891 0.02055225356449702
21 210 0.024952949910106752 0 0 0.01847313773884646 0.01905067301762546 0.020365072172523504 0.01866313538797423 0.022001856699199265 0.017392933860472685 0.01969922234386985 0.0194414580520568 0.01777655068115812
22 220 0.023914486403417798 0 0 0.01755737240072866 0.018321219147277 0.019711643141131253 0.017678810472925997 0.02095369219380868 0.015616990570491946 0.019181358377873787 0.018306430363505172 0.017124737723324474
23 230 0.021624955400058838 0 0 0.01553089484710081 0.01657737756504038 0.0179825459676599 0.015447013046707012 0.019001983536099273 0.014098288989713518 0.017327657401362315 0.01627895255476323 0.014924923768293654
24 240 0.02079654859370258 0 0 0.014930554763661508 0.0152722307884763 0.017068872323633338 0.014764020607860154 0.01879264061511076 0.013620781124665523 0.016380312628935405 0.015197372348033067 0.014859136277204359
25 250 0.01913924739818996 0 0 0.013344901165183679 0.014004095514959089 0.015443601981444698 0.013657690552557545 0.01718163379332855 0.01241427058238817 0.014386245578761277 0.013723452644340281 0.013819668609210037
26 260 0.018908200569567102 0 0 0.013428109960505055 0.013835918466034805 0.014866489789079644 0.013313678573674752 0.016527138029055293 0.012288460835181233 0.013956867787975684 0.013424264643427945 0.013856835255394362
27 270 0.01911685140710379 0 0 0.013556630611221757 0.013847080683206133 0.015385808038392214 0.01314861248615696 0.016771019613296335 0.01235308739731537 0.014135623303244705 0.012789863940311187 0.014573583136843316
28 280 0.018282501435298092 0 0 0.012555181108715225 0.0134529855870512 0.01467685016434055 0.012411748543256511 0.016031435144909727 0.011754453228476836 0.013277059703963503 0.012233454793856438 0.013282447591516113
29 290 0.01600699075670838 0 0 0.010958004408856675 0.01186492300503919 0.012751816173528538 0.010642994652836534 0.013428507778814625 0.010409847486936824 0.011535746222242594 0.0105125582884981 0.011510331727382063
30 300 0.013643909321596839 0 0 0.00926291798249582 0.010092408552049724 0.010614462969408786 0.009239709529094153 0.010760585607348142 0.008695831957049685 0.009671646579574707 0.008814293413066847 0.009743972009716741
