% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sqrt(diag(C))", seed=1071271, Mon Feb 20 14:22:43 2023, <python>{}</python>
1 10 0.1837751397624583 0 0 0.17937358899622247 0.1888446090347601 0.17943168004282609 0.18076590665089629 0.1814100505982482 0.18101991073871548 0.18097205479883102 0.1819282255009535 0.1874887655508305
2 20 0.16092640265189595 0 0 0.15623748167070192 0.1664578533908913 0.15987563043945333 0.15178560354058498 0.15632339807105133 0.15588395030738084 0.1544129227889165 0.15588023971623227 0.16749091574193614
3 30 0.14702113060386163 0 0 0.1449012592983336 0.14970852145585892 0.14695357248474766 0.13562995650007262 0.13829811397405026 0.13905210473462645 0.13556283929731994 0.14016557821499515 0.15457173399982693
4 40 0.1261636911318947 0 0 0.12284407537357839 0.12290099655239575 0.12664563348420513 0.1136204438971153 0.11814119947434142 0.11619121596354318 0.11478552426096486 0.1198437216128666 0.13170510346028858
5 50 0.11328405980217574 0 0 0.11043356985017762 0.10840932260404307 0.1070490058767582 0.10353401978087476 0.1043803789599819 0.10401257513953158 0.10218422710724313 0.10654859697478421 0.11688505901157663
6 60 0.10240621816924524 0 0 0.0997545593987561 0.09587581659100057 0.09608727773864824 0.09348908189638123 0.09191470063692077 0.09289231223623366 0.09231304360303823 0.09713216141901976 0.10069935319571494
7 70 0.09503825789982723 0 0 0.09027703898088449 0.08995493882340487 0.08775812728865112 0.08423468988443865 0.08444104102505595 0.08583691670311466 0.08578946129268926 0.0899690562539591 0.09018158159214565
8 80 0.08600874140517531 0 0 0.0816098768007558 0.08045896680620024 0.07907568700255138 0.07484163478868655 0.07211408795888716 0.07797327459785315 0.07722876199034398 0.07980634032490012 0.0791160709053921
9 90 0.07537878222277111 0 0 0.0707656792401873 0.07045229786534066 0.06903557635202488 0.06620351361659235 0.06020664594265496 0.06706775816383252 0.06657602234515655 0.06972808032652925 0.06757395945867666
10 100 0.06878081332823043 0 0 0.06421014762763695 0.06362113082987238 0.06372878780119512 0.05837087824530557 0.05516175172826794 0.06118619100418787 0.06050410054470295 0.06290993422525833 0.05918680088906121
