% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sqrt(diag(C))", seed=170615, Tue Feb 21 18:30:08 2023, <python>{}</python>
1 10 0.10166303235480041 0 0 0.09975427719428165 0.10742100293899878 0.10149366482927401 0.10285541818525086 0.10220276343378598 0.10347924008758037 0.1000332246999395 0.10164458877495414 0.10086938309491297
2 20 0.10957165691809712 0 0 0.10813743037241338 0.11656041591502349 0.1093052914785473 0.1072275857995491 0.10815754510525134 0.11363311764724378 0.11014086914663893 0.11042121636219966 0.11603332626983047
3 30 0.10915619192876722 0 0 0.10383981596750516 0.11503830041109522 0.10711745655884276 0.10412127257779054 0.10742393294108685 0.11551413621261468 0.10928122237924277 0.11156630277642732 0.11675114945375129
4 40 0.11563643563206773 0 0 0.11239175592809114 0.12085804101965579 0.11519264334185263 0.10721657038686831 0.11216859872012573 0.12310370696974188 0.11604841999560637 0.11849521357504211 0.12601396699530548
5 50 0.10371958792998105 0 0 0.0989561488483643 0.10726110050472706 0.10276562851571669 0.09479744677251263 0.09816394339191675 0.10915323594089055 0.10338132433245027 0.10680414536702108 0.1102104660213604
6 60 0.09953321328399237 0 0 0.09383060089810566 0.10346365440999888 0.09489200876178054 0.08737719695530756 0.09368941803185432 0.1047779760946817 0.09892341531158279 0.1039563057794578 0.1060177959108478
7 70 0.10895641527351829 0 0 0.10829905124738856 0.11248215483849894 0.10362226122063241 0.0912394543404347 0.10686964857015503 0.11329143509546227 0.10970672717456252 0.11663823358755979 0.12018568216225109
8 80 0.11444434415691096 0 0 0.12127040184486101 0.11375652383088541 0.10553422689129198 0.09544158804162936 0.11402651654990696 0.11879639769871894 0.11766205792905075 0.12385588947959847 0.1301100645660567
9 90 0.12801388081482612 0 0 0.1420577454149258 0.12685362801437006 0.12152223346116893 0.10574447619869044 0.12803670717064766 0.13745989797596922 0.14030403832180857 0.13297589010934224 0.14461226955409937
10 100 0.15334827265373868 0 0 0.18127895477911318 0.15769347273462675 0.1481176962728121 0.12422500219869394 0.1512495078039387 0.1638706728024869 0.16651457618265364 0.16174644135024863 0.17588422179765073
11 110 0.1844937121287386 0 0 0.2179180592556056 0.19159193652483436 0.17903632621637947 0.14770376623845718 0.1806116260671457 0.19182373300783748 0.20339440288318467 0.19932798470384555 0.21532233079701318
