% # columns="iter, evals, sigma, 0, fitness, xbest" seed=1062029, Mon Feb 20 14:22:43 2023, <python>{}</python>
1 10 0.1775004260256913 0 32.7468349730186 0.24830769825254506 0.09708164030186932 0.031033798897669593 0.022791823658242876 0.00257294992115782 -0.11823523547477309 -0.08144103041373715 -0.27590673677364347 0.03551697422686472
2 20 0.15007990947040006 0 7.647207095207591 -0.006941434553915826 0.10697214870106517 -0.061607471025211066 0.07440750930328524 0.10084142075264856 0.000980401673760345 0.00455558353557816 -0.04842284404454883 -0.13251860897573486
3 30 0.13673769210826134 0 15.638785714249778 -0.047785744375475676 0.08253021987592897 -0.007466797733565331 -0.010058485174672241 -0.015021419921738104 -0.13946341690629938 0.0935234711778086 -0.007653702402240052 -0.23318957561916553
4 40 0.1232107764867777 0 14.31351653653432 -0.19926031727829185 0.09776476993125505 0.016440404176233013 0.031248730481662025 0.07886558061504698 -0.09979006129389927 -0.06595964506091365 -0.015009958037837659 0.11465941839648647
5 50 0.11768420806154267 0 22.633820591411922 -0.09144494272951756 -0.051290906533200314 -0.07893315483446127 0.02388714126101721 -0.004293987187986625 -0.11145553838791897 0.15106622661354438 -0.24999429232165277 -0.07625628036083232
6 60 0.106082579309908 0 5.506653474830216 0.01591978479494078 0.05224986128824383 -0.0556454564900402 -0.09255983656234916 0.08958794781114114 -0.08814213968193908 0.049966336830913935 -0.06411227484781225 0.030623089242221346
7 70 0.09445002564261093 0 10.471387942151837 0.07726728891533846 -0.027974314667675398 -0.12587095823442876 -0.04850794764452814 0.04027662519054513 -0.16402257786158195 -0.05389563895201761 -0.0042248126288815455 -0.07656115225901719
8 80 0.0900501866932496 0 6.7370230912614915 0.12230663871825148 0.005018962548944818 0.052729088640117466 -0.15378006133137884 0.03056399875734777 0.005438522625677351 0.059808216537461635 0.00572646356258312 -0.03896803189136974
9 90 0.08309490259809965 0 3.0890783966832345 0.044552323275878325 0.0005428937968532353 -0.05152173064835695 -0.038928000934371036 0.1260236172560336 -0.015842092573419574 -0.013335778370863229 -0.043702905161650575 -0.042440941298349535
10 100 0.0781096505323626 0 3.9411778933629336 0.07566821577489989 0.09458228989717363 -0.032126985491673206 0.0507655043013 -0.07263054643370129 0.02389401771234151 -0.032916841220982616 0.018542567922881843 -0.024931259615010994
11 110 0.06877967022921368 0 3.023991141681023 0.03977222570292582 -0.027737489230546378 -0.00789861641956225 -0.0539519493344667 0.04127651682083 0.033853755724689544 -0.0319256505636952 0.07411322013921881 -0.07671107450762481
12 120 0.06501239011651008 0 1.898778057018769 -0.004839839898413134 -0.07127553675798255 0.0037170007054706106 -0.0582745886964713 0.00142612248240951 0.022372194649608334 0.05099361510963177 0.00805116233122194 -0.04862125723484386
13 130 0.05518974969570088 0 0.543257494160784 0.016826090136600712 0.010950189194479865 -0.045468025145834395 -0.02839021360823461 -0.015105176783760017 0.0058642873452811 0.024177736506191188 0.007578312467677739 -0.03952521336629889
14 140 0.05096003733353051 0 0.8105369504779816 0.039203308054297066 0.01234797745550139 -0.00048632944068167233 -0.017206398398300588 -0.05760332121648034 -0.04383680070471657 -0.0004556381117438481 -0.017362154231263572 0.0026745226601594743
15 150 0.0449950731814773 0 0.31724254336612034 0.036368536563983186 0.022182028087500895 -0.005028449464559799 -0.036310977857156757 -0.006247082764185636 -0.018530485416718666 -0.012829767112895497 -0.021086827116275658 -0.019385191340678738
16 160 0.03988673125471205 0 1.3268809037702027 -0.062225230234574526 0.0329366812222195 -8.251650150878798e-05 0.021447357320626123 0.024443399634823736 -0.006113652032147546 -0.03187948830286311 0.0351489855956697 -0.005001792649612986
17 170 0.03500399988325292 0 0.08625250105622229 -0.019081069304340285 0.030650178699722655 -0.01741611617761358 -0.006921900143719625 0.011895262123154952 0.006165698590969413 -0.01275104508954377 -0.024113719465269266 -0.0007259346860587351
18 180 0.033875112368768445 0 0.5185017659984226 0.016775580316100238 0.0036500761844011423 -0.032429537138472346 -0.03422456258293485 0.009879137802854645 0.014624996387253578 -0.020987409484060665 -0.0290639655677006 0.025518820469095684
19 190 0.0331636240634629 0 0.914150291411417 0.0034992306698061887 0.025027079505374455 -0.009526511011580396 -0.05625855261050812 -0.016350025953714008 0.021862432964217356 0.0006482417763849016 0.02857251252020191 0.005213435084015613
