% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sqrt(diag(C))", seed=1040450, Mon Feb 20 14:22:43 2023, <python>{}</python>
1 10 0.1753992353572703 0 0 0.17424977637437897 0.17276317473088923 0.17757167250220593 0.16886966770545062 0.17228610971876446 0.17381598378286936 0.17173086157948889 0.1699748993971918 0.17325895594637425
2 20 0.159614229929026 0 0 0.1577818027569541 0.15641378829021338 0.16068446447967208 0.15127103005651124 0.15400147703125178 0.15419059653910105 0.15831782234992237 0.15168075032888936 0.1586157191429658
3 30 0.13974314198947144 0 0 0.13747548975378673 0.13494828196438177 0.14014838336809574 0.1318730807863597 0.13329719104917545 0.13108486143711498 0.1355514709894633 0.13160070645917335 0.13657895914924656
4 40 0.12220195610482028 0 0 0.11714302699474613 0.11680596915613106 0.12101238121006601 0.11396156244696443 0.11422048672967272 0.11292929074604771 0.11766102200359788 0.11415596299807017 0.11808186482305799
5 50 0.11336486371507322 0 0 0.10953930596371553 0.10531495742993151 0.11012876271458703 0.1036311225882218 0.10451555423770154 0.10141985981422151 0.10760130383090254 0.10650407068845931 0.10958861214889416
6 60 0.10360972498532038 0 0 0.0972114681276085 0.09732947462372096 0.10029649441430055 0.09535750700323535 0.09319457296667835 0.09127413496602751 0.09717957627669756 0.09660130062315937 0.09910863675803634
7 70 0.09789997477084544 0 0 0.08993582868604091 0.09378510018049996 0.09299594697341966 0.08723179298058809 0.08749795669514886 0.08573106667875889 0.09229815622996376 0.09168761177096035 0.09617192619034032
8 80 0.08882296915102424 0 0 0.08111621973893567 0.0832261549052701 0.08423770413467825 0.07969922873791442 0.07894998650610335 0.07838861720151626 0.07957811085871123 0.0812301257383323 0.08691993620472964
9 90 0.08263918659380827 0 0 0.07237136648845807 0.07837581748920225 0.078743467514919 0.07325458454342693 0.073191932084025 0.07220299677226875 0.07305215881793332 0.0742121393205183 0.07920248008945166
10 100 0.07281885373621363 0 0 0.06334895993050159 0.06690415343057408 0.0686689262819363 0.06774404779382485 0.06398258938602572 0.06282330559427503 0.06422918330424211 0.06335514655898214 0.06788369926077273
11 110 0.06702311009445922 0 0 0.057844491409930046 0.06083599959219926 0.06270938693644824 0.062477047525105356 0.05740293168118402 0.05605240098212361 0.057959971535123465 0.05839863100093821 0.06368030011965879
12 120 0.06327125868833064 0 0 0.05498033018630127 0.05542742173346362 0.05976489731719324 0.05804021882461353 0.05519693541725934 0.05293050762642112 0.05422312342869843 0.05341574176985817 0.05738480042975712
13 130 0.06289900795577104 0 0 0.054190073600289636 0.053889426363086114 0.05887877690723215 0.057535118129035966 0.05458023251576534 0.053839397615496484 0.05273395775625088 0.05238093066594642 0.056970777619636315
14 140 0.05774032455145025 0 0 0.047508458965405925 0.0489233815753615 0.05373223709096129 0.05263968242239926 0.0496966597780892 0.04858382631727544 0.04830766602496716 0.04705654668319673 0.05148649750306228
15 150 0.056287059098949994 0 0 0.0438362232396891 0.0479529607496487 0.05168782485005933 0.050924657290921924 0.048636156822209106 0.047077598048045996 0.046747930861602296 0.045261595090270806 0.049827604876626935
16 160 0.05126222078146508 0 0 0.04006220704630744 0.04272078505233681 0.04635694188455152 0.04642193932465821 0.04436153732543553 0.04183970410065129 0.04200712682159857 0.041124344548205446 0.0449225224178363
17 170 0.046228369570716375 0 0 0.03590700232685255 0.039132068709677496 0.04011789799426075 0.04163188937559659 0.038762693321761355 0.0374765756429885 0.03689445745095796 0.03716738463773547 0.04060818543265029
18 180 0.044628280866438726 0 0 0.035688287966546155 0.037794727126991216 0.03838498870036198 0.03853594179118483 0.03737568105203066 0.036040283634182074 0.036712273483331455 0.03493771218389476 0.03795322353864732
19 190 0.041098131208420305 0 0 0.03165301329869903 0.03450963469584917 0.036013918791576775 0.034204430765499554 0.03397075507275635 0.033002309098500354 0.03362085764767196 0.032173807847300694 0.0350953409741948
20 200 0.036970022517530614 0 0 0.0283558438671387 0.03035908939460766 0.031801463930713376 0.02978648825795643 0.030434518490138437 0.028625888912486987 0.030254998257836396 0.028494978851702452 0.03136532993520288
21 210 0.03681759497392473 0 0 0.029510914315440645 0.03006064834469589 0.03224527779913257 0.029601235150756418 0.029688952892398143 0.02818991568892934 0.02893763809903334 0.028028340144629807 0.030679818098847646
22 220 0.035936002284902464 0 0 0.02855513646911921 0.028896391034403206 0.03136809688973424 0.02840643702377444 0.028370525033399797 0.027384705665674882 0.028603270860803744 0.02743750747494122 0.028676800449028688
23 230 0.034378801824480075 0 0 0.02680812917479634 0.02776373126239256 0.029157357496603715 0.026735508060318942 0.027224330526205185 0.02541580157098067 0.026873806808774162 0.026314627475602276 0.027279636421369848
24 240 0.03057041846729104 0 0 0.02379694642079293 0.024458742399937946 0.025219707261697144 0.023100316060438258 0.023510645863416217 0.022408519814129765 0.02393474417501843 0.023330430815911296 0.024021796220698045
25 250 0.029050576782051096 0 0 0.022296632592166316 0.022380810366944004 0.023411211733898794 0.021422611086399635 0.022522506428741713 0.021314969591352362 0.023335709784715167 0.0225851706490494 0.022125615825914116
26 260 0.02693332199460665 0 0 0.021270882590716318 0.020957376217520748 0.021313847301118162 0.0196684329604435 0.020739447159953354 0.019467666579951453 0.020835191181941142 0.02048918019465103 0.020519235164796396
27 270 0.025586247546291206 0 0 0.020099795223135722 0.019758990770821102 0.020164672207199336 0.018625285367530345 0.019486129943595432 0.018246955916064407 0.01967213926970921 0.01993156525786022 0.018772244264705876
28 280 0.023979043923030522 0 0 0.01823390777676564 0.018357381486673156 0.018628607298675826 0.0173849760147507 0.01823477892941332 0.016994545217193596 0.017988392408864125 0.0188190954621287 0.017149977112391135
29 290 0.02303343776506375 0 0 0.017711678537278203 0.016992576706646313 0.01822630164988364 0.01659912500416159 0.016831366337823197 0.01612838334052726 0.017147497229075246 0.017533644856123114 0.016549732551571574
30 300 0.02246648925589936 0 0 0.016887652511833592 0.01612908202305275 0.017479037909432376 0.016481737068461014 0.01629792455973531 0.015483261138242428 0.016494588613633274 0.01715893521178196 0.015986472544710948
