Fixed at 70 freqs,,,,,,,,,
freq / Hz,Time / s,neg. Phase / °,Idc / uA,Iac / uA,Z / Ohm,Z' / Ohm,Z'' / Ohm,Cs / F,Eac / V
1000000,0,68.8836,1.66894,84.9744,27.1197,9.77025,25.2986,6.29106E-09,0.00255078
791682,0,56.9782,1.66894,104.079,32.1769,17.535,26.9791,7.45146E-09,0.00348928
626760,0,48.9592,1.66894,118.579,35.8011,23.5069,27.0027,9.40397E-09,0.00433006
496195,0,43.3602,1.1921,138.455,38.5863,28.0542,26.4927,1.21072E-08,0.00540389
392828,0,39.6302,1.1921,164.686,41.1788,31.715,26.2651,1.54255E-08,0.00683783
310995,0,37.5095,1.66894,186.606,43.7991,34.7438,26.6689,1.91894E-08,0.0082268
246209,0,36.6363,-0.715259,213.164,46.8641,37.6056,27.9653,2.31151E-08,0.0100466
194919,0,36.6766,0.715258,222.564,50.6307,40.6069,30.2416,2.69998E-08,0.0113255
154314,0,37.0804,-0.715259,210.732,55.5588,44.3243,33.4983,3.07887E-08,0.0117616
122168,0,37.4179,-0.715259,185.909,61.8635,49.1336,37.5898,3.46572E-08,0.0115474
96718,0,37.5591,0.643733,159.526,68.9053,54.6229,42.0033,3.91769E-08,0.0110485
76569.9,0,36.6653,0.929836,135.92,77.8543,62.4498,46.4899,4.47099E-08,0.0106215
60619,0,34.7877,0.929836,117.114,87.7275,72.0481,50.0518,5.24556E-08,0.0103075
47991,0,32.2576,-0.739101,102.958,97.4078,82.3737,51.9891,6.37894E-08,0.010057
37993.6,0,29.3529,1.12057,92.4871,106.673,92.978,52.2898,8.01111E-08,0.00989099
30078.8,0,26.3852,-6.31812,84.2085,115.125,103.132,51.1622,1.03421E-07,0.0097172
23812.9,0,23.4367,-0.946525,78.8648,122.228,112.144,48.6144,1.37481E-07,0.00966141
18852.2,0,20.6866,-1.28031,74.966,128.474,120.191,45.3843,1.86017E-07,0.00965242
14925,0,18.2618,-1.30415,71.5779,134.274,127.511,42.0758,2.5344E-07,0.00963134
11815.8,0,16.2477,0.31233,69.0214,138.986,133.435,38.8871,3.46378E-07,0.00961269
9354.37,0,14.5084,-0.545981,67.3478,142.846,138.291,35.7861,4.75436E-07,0.00963994
7405.68,0,13.105,-0.46015,65.6321,146.303,142.493,33.1721,6.4786E-07,0.00962131
5862.95,0,12.0592,-0.259877,64.2282,149.437,146.139,31.2208,8.69482E-07,0.00961678
4641.59,0,11.2993,-0.302793,62.9254,152.554,149.597,29.8905,1.14715E-06,0.00961789
3674.66,0,10.8923,-0.19312,62.0014,154.593,151.808,29.2125,1.48264E-06,0.00960283
2909.16,0,9.64859,-0.126362,60.3991,158.516,156.274,26.5681,2.05917E-06,0.00959208
2303.13,0,11.0188,-0.135899,59.8475,159.88,156.933,30.5581,2.26138E-06,0.00958565
1823.35,0,11.4429,-0.159741,59.0303,161.919,158.701,32.1234,2.71725E-06,0.00957527
1443.51,0,12.2675,-0.302793,58.0408,164.791,161.028,35.0141,3.14889E-06,0.00958093
1142.8,0,13.4984,-0.226499,57.0872,167.664,163.033,39.1359,3.55855E-06,0.00958694
904.736,0,15.0809,-0.226499,55.9829,170.997,165.108,44.4906,3.95394E-06,0.00958954
716.263,0,17.389,-0.164509,54.6897,175.114,167.111,52.334,4.24584E-06,0.00959294
567.052,0,20.2726,-0.216962,53.1374,183.606,172.233,63.6171,4.41187E-06,0.00977154
448.925,0,23.2047,-0.121594,51.2548,186.821,171.708,73.6107,4.81621E-06,0.00958967
