time /s	I /mA	E /V
1.2300000E+00	-7.3054E-03	-9.7334E-02
1.2400000E+00	-7.7199E-03	-1.2001E-01
1.2500000E+00	-7.8556E-03	-1.3966E-01
1.2600000E+00	-7.6784E-03	-1.5528E-01
1.2700000E+00	-7.2384E-03	-1.6664E-01
1.2800000E+00	-6.4751E-03	-1.7330E-01
1.2900000E+00	-5.5230E-03	-1.7497E-01
1.3000000E+00	-4.3180E-03	-1.7165E-01
1.3100000E+00	-2.8919E-03	-1.6301E-01
1.3200000E+00	-1.4453E-03	-1.4998E-01
1.3300000E+00	4.3509E-05	-1.3268E-01
1.3400000E+00	1.5797E-03	-1.1133E-01
1.3500000E+00	2.9696E-03	-8.7392E-02
1.3600000E+00	4.3546E-03	-6.1088E-02
1.3700000E+00	5.5304E-03	-3.3091E-02
1.3800000E+00	6.4935E-03	-5.1417E-03
1.3900000E+00	7.2894E-03	2.2532E-02
1.4000000E+00	7.8194E-03	4.8863E-02
1.4100000E+00	8.1113E-03	7.2842E-02
1.4200000E+00	8.1324E-03	9.3822E-02
1.4300000E+00	7.8889E-03	1.1084E-01
1.4400000E+00	7.4243E-03	1.2350E-01
1.4500000E+00	6.7737E-03	1.3184E-01
1.4600000E+00	5.7695E-03	1.3482E-01
1.4700000E+00	4.5463E-03	1.3284E-01
1.4800000E+00	3.2428E-03	1.2585E-01
1.4900000E+00	1.8854E-03	1.1419E-01
1.5000000E+00	4.5828E-04	9.8189E-02
1.5100000E+00	-9.2006E-04	7.8522E-02
1.5200000E+00	-2.2219E-03	5.5553E-02
1.5300000E+00	-3.4502E-03	3.0578E-02
1.5400000E+00	-4.5327E-03	4.2379E-03
1.5500000E+00	-5.6134E-03	-2.2719E-02
1.5600000E+00	-6.4415E-03	-4.9358E-02
1.5700000E+00	-7.1238E-03	-7.4660E-02
1.5800000E+00	-7.4740E-03	-9.7654E-02
1.5900000E+00	-7.6296E-03	-1.1732E-01
1.6000000E+00	-7.4896E-03	-1.3366E-01
1.6100000E+00	-7.1041E-03	-1.4565E-01
1.6200000E+00	-6.3814E-03	-1.5263E-01
1.6300000E+00	-5.4304E-03	-1.5498E-01
1.6400000E+00	-4.2635E-03	-1.5235E-01
1.6500000E+00	-2.9260E-03	-1.4437E-01
1.6600000E+00	-1.4991E-03	-1.3168E-01
1.6700000E+00	-3.0371E-05	-1.1472E-01
1.6800000E+00	1.4616E-03	-9.4033E-02
1.6900000E+00	2.8792E-03	-7.0427E-02
1.7000000E+00	4.2928E-03	-4.4095E-02
1.7100000E+00	5.4304E-03	-1.6439E-02
1.7200000E+00	6.4193E-03	1.1516E-02
1.7300000E+00	7.2342E-03	3.9537E-02
1.7400000E+00	7.7842E-03	6.5841E-02
1.7500000E+00	8.0417E-03	9.0170E-02
1.7600000E+00	8.1552E-03	1.1150E-01
1.7700000E+00	8.0373E-03	1.2919E-01
1.7800000E+00	7.6311E-03	1.4249E-01
1.7900000E+00	6.9772E-03	1.5121E-01
1.8000000E+00	6.0682E-03	1.5485E-01
1.8100000E+00	4.8490E-03	1.5350E-01
1.8200000E+00	3.5015E-03	1.4685E-01
1.8300000E+00	2.0830E-03	1.3581E-01
1.8400000E+00	6.3008E-04	1.2018E-01
1.8500000E+00	-7.5833E-04	1.0086E-01
1.8600000E+00	-2.0254E-03	7.8572E-02
1.8700000E+00	-3.2362E-03	5.3573E-02
1.8800000E+00	-4.3646E-03	2.7244E-02
1.8900000E+00	-5.4435E-03	2.7358E-04
1.9000000E+00	-6.2480E-03	-2.6363E-02
1.9100000E+00	-6.9018E-03	-5.1702E-02
1.9200000E+00	-7.3188E-03	-7.5033E-02
1.9300000E+00	-7.5341E-03	-9.5353E-02
1.9400000E+00	-7.3815E-03	-1.1199E-01
1.9500000E+00	-7.0002E-03	-1.2434E-01
1.9600000E+00	-6.3511E-03	-1.3231E-01
1.9700000E+00	-5.4307E-03	-1.3500E-01
1.9800000E+00	-4.2570E-03	-1.3267E-01
1.9900000E+00	-2.9509E-03	-1.2537E-01
2.0000000E+00	-1.5199E-03	-1.1339E-01
2.0100000E+00	-1.0023E-04	-9.7034E-02
2.0200000E+00	1.3205E-03	-7.6742E-02
