time /s	I /mA	E /V
1.0000000E-02	-6.9051E-03	-1.0004E-01
2.0000000E-02	-4.2038E-03	-8.5720E-02
3.0000000E-02	-2.4569E-03	-7.1363E-02
4.0000000E-02	-1.2514E-03	-5.7393E-02
5.0000000E-02	-2.7218E-04	-4.3737E-02
6.0000000E-02	4.7924E-04	-3.0435E-02
7.0000000E-02	9.8723E-04	-1.7727E-02
8.0000000E-02	1.4401E-03	-5.7310E-03
9.0000000E-02	1.7484E-03	5.2368E-03
1.0000000E-01	1.9680E-03	1.5901E-02
1.1000000E-01	2.1225E-03	2.5243E-02
1.2000000E-01	2.0782E-03	3.3570E-02
1.3000000E-01	2.1173E-03	4.0884E-02
1.4000000E-01	2.0541E-03	4.7228E-02
1.5000000E-01	1.9555E-03	5.2226E-02
1.6000000E-01	1.8064E-03	5.5885E-02
1.7000000E-01	1.6178E-03	5.8563E-02
1.8000000E-01	1.3693E-03	5.9893E-02
1.9000000E-01	1.0549E-03	5.9877E-02
2.0000000E-01	8.0591E-04	5.8568E-02
2.1000000E-01	4.7764E-04	5.6233E-02
2.2000000E-01	1.0705E-04	5.2578E-02
2.3000000E-01	-3.0801E-04	4.7573E-02
2.4000000E-01	-6.7562E-04	4.1554E-02
2.5000000E-01	-1.0620E-03	3.4234E-02
2.6000000E-01	-1.4546E-03	2.6248E-02
2.7000000E-01	-1.9061E-03	1.7223E-02
2.8000000E-01	-2.3142E-03	7.2212E-03
2.9000000E-01	-2.7061E-03	-3.4417E-03
3.0000000E-01	-3.1380E-03	-1.5084E-02
3.1000000E-01	-3.5167E-03	-2.7061E-02
3.2000000E-01	-3.9453E-03	-3.9413E-02
3.3000000E-01	-4.3042E-03	-5.2386E-02
3.4000000E-01	-4.6666E-03	-6.5414E-02
3.5000000E-01	-5.0673E-03	-7.8395E-02
3.6000000E-01	-5.3895E-03	-9.1729E-02
3.7000000E-01	-5.6401E-03	-1.0472E-01
3.8000000E-01	-5.9408E-03	-1.1769E-01
3.9000000E-01	-6.1786E-03	-1.3034E-01
4.0000000E-01	-6.3762E-03	-1.4234E-01
4.1000000E-01	-6.5433E-03	-1.5402E-01
4.2000000E-01	-6.6428E-03	-1.6468E-01
4.3000000E-01	-6.7638E-03	-1.7497E-01
4.4000000E-01	-6.7845E-03	-1.8432E-01
4.5000000E-01	-6.7410E-03	-1.9266E-01
4.6000000E-01	-6.6246E-03	-1.9998E-01
4.7000000E-01	-6.4474E-03	-2.0630E-01
4.8000000E-01	-6.2088E-03	-2.1129E-01
4.9000000E-01	-5.9259E-03	-2.1533E-01
5.0000000E-01	-5.5653E-03	-2.1831E-01
5.1000000E-01	-5.1294E-03	-2.1965E-01
5.2000000E-01	-4.6462E-03	-2.1999E-01
5.3000000E-01	-4.1859E-03	-2.1900E-01
5.4000000E-01	-3.6063E-03	-2.1666E-01
5.5000000E-01	-3.0934E-03	-2.1332E-01
5.6000000E-01	-2.5450E-03	-2.0867E-01
5.7000000E-01	-1.9741E-03	-2.0267E-01
5.8000000E-01	-1.4099E-03	-1.9563E-01
5.9000000E-01	-7.5992E-04	-1.8735E-01
6.0000000E-01	-1.4961E-04	-1.7800E-01
6.1000000E-01	4.2474E-04	-1.6803E-01
6.2000000E-01	9.6380E-04	-1.5703E-01
6.3000000E-01	1.5067E-03	-1.4508E-01
6.4000000E-01	2.0001E-03	-1.3271E-01
6.5000000E-01	2.5636E-03	-1.1937E-01
6.6000000E-01	2.9916E-03	-1.0608E-01
6.7000000E-01	3.4541E-03	-9.2052E-02
