time /s	I /mA	E /V
1.0000000E-02	-8.1662E-03	-9.9976E-02
2.0000000E-02	-2.1271E-03	-4.5387E-02
3.0000000E-02	1.1116E-03	1.9130E-03
4.0000000E-02	2.5048E-03	3.5568E-02
5.0000000E-02	2.3804E-03	5.1578E-02
6.0000000E-02	1.0066E-03	4.7260E-02
7.0000000E-02	-1.2833E-03	2.3963E-02
8.0000000E-02	-4.1022E-03	-1.5676E-02
9.0000000E-02	-7.1459E-03	-6.6303E-02
1.0000000E-01	-9.9900E-03	-1.2066E-01
1.1000000E-01	-1.2115E-02	-1.7127E-01
1.2000000E-01	-1.3179E-02	-2.1193E-01
1.3000000E-01	-1.2773E-02	-2.3661E-01
1.4000000E-01	-1.0932E-02	-2.4195E-01
1.5000000E-01	-7.9379E-03	-2.2729E-01
1.6000000E-01	-4.3419E-03	-1.9432E-01
1.7000000E-01	-5.7742E-04	-1.4765E-01
1.8000000E-01	2.8559E-03	-9.3388E-02
1.9000000E-01	5.5585E-03	-3.8407E-02
2.0000000E-01	7.2109E-03	9.5719E-03
2.1000000E-01	7.6676E-03	4.4202E-02
2.2000000E-01	6.8249E-03	6.1231E-02
2.3000000E-01	4.8853E-03	5.8218E-02
2.4000000E-01	2.0616E-03	3.5578E-02
2.5000000E-01	-1.1506E-03	-3.0076E-03
2.6000000E-01	-4.4543E-03	-5.3028E-02
2.7000000E-01	-7.4128E-03	-1.0735E-01
2.8000000E-01	-9.5819E-03	-1.5866E-01
2.9000000E-01	-1.0670E-02	-1.9994E-01
3.0000000E-01	-1.0516E-02	-2.2559E-01
3.1000000E-01	-8.9875E-03	-2.3227E-01
3.2000000E-01	-6.3303E-03	-2.1862E-01
3.3000000E-01	-3.0206E-03	-1.8668E-01
3.4000000E-01	5.1009E-04	-1.4073E-01
3.5000000E-01	3.7736E-03	-8.6718E-02
3.6000000E-01	6.4333E-03	-3.1707E-02
3.7000000E-01	8.1205E-03	1.6905E-02
3.8000000E-01	8.5826E-03	5.2548E-02
3.9000000E-01	7.7812E-03	7.0531E-02
4.0000000E-01	5.8542E-03	6.8915E-02
4.1000000E-01	3.0586E-03	4.7592E-02
4.2000000E-01	-2.4623E-04	9.2777E-03
4.3000000E-01	-3.5465E-03	-4.0015E-02
4.4000000E-01	-6.5191E-03	-9.4310E-02
4.5000000E-01	-8.7677E-03	-1.4594E-01
4.6000000E-01	-9.8900E-03	-1.8794E-01
4.7000000E-01	-9.7808E-03	-2.1462E-01
4.8000000E-01	-8.3731E-03	-2.2230E-01
4.9000000E-01	-5.8648E-03	-2.0996E-01
5.0000000E-01	-2.6316E-03	-1.7899E-01
5.1000000E-01	8.0133E-04	-1.3368E-01
5.2000000E-01	4.0769E-03	-7.9702E-02
5.3000000E-01	6.7290E-03	-2.4749E-02
5.4000000E-01	8.4099E-03	2.4209E-02
5.5000000E-01	8.9880E-03	6.0866E-02
5.6000000E-01	8.2817E-03	8.0182E-02
5.7000000E-01	6.3522E-03	7.9521E-02
5.8000000E-01	3.5709E-03	5.9231E-02
5.9000000E-01	3.0248E-04	2.1938E-02
6.0000000E-01	-3.0152E-03	-2.6985E-02
6.1000000E-01	-6.0024E-03	-8.0996E-02
6.2000000E-01	-8.2834E-03	-1.3297E-01
6.3000000E-01	-9.4836E-03	-1.7596E-01
6.4000000E-01	-9.4578E-03	-2.0361E-01
6.5000000E-01	-8.1119E-03	-2.1229E-01
6.6000000E-01	-5.6755E-03	-2.0128E-01
6.7000000E-01	-2.5257E-03	-1.7130E-01
6.8000000E-01	8.6943E-04	-1.2671E-01
6.9000000E-01	4.1099E-03	-7.3032E-02
7.0000000E-01	6.8006E-03	-1.7747E-02
7.1000000E-01	8.5834E-03	3.1906E-02
7.2000000E-01	9.1613E-03	6.9223E-02
7.3000000E-01	8.5180E-03	8.9542E-02
7.4000000E-01	6.7151E-03	9.0187E-02
7.5000000E-01	3.9392E-03	7.0890E-02
7.6000000E-01	7.0424E-04	3.4570E-02
7.7000000E-01	-2.6581E-03	-1.4046E-02
7.8000000E-01	-5.6661E-03	-6.7992E-02
7.9000000E-01	-7.9558E-03	-1.2028E-01
8.0000000E-01	-9.1785E-03	-1.6363E-01
8.1000000E-01	-9.2446E-03	-1.9233E-01
8.2000000E-01	-7.9769E-03	-2.0265E-01
8.3000000E-01	-5.6309E-03	-1.9234E-01
8.4000000E-01	-2.5223E-03	-1.6330E-01
8.5000000E-01	8.4216E-04	-1.1934E-01
8.6000000E-01	4.0643E-03	-6.6381E-02
8.7000000E-01	6.7542E-03	-1.1075E-02
8.8000000E-01	8.6200E-03	3.9200E-02
8.9000000E-01	9.3199E-03	7.7532E-02
9.0000000E-01	8.6983E-03	9.8861E-02
9.1000000E-01	6.9399E-03	1.0052E-01
9.2000000E-01	4.2507E-03	8.2546E-02
9.3000000E-01	1.0057E-03	4.6950E-02
9.4000000E-01	-2.2902E-03	-7.0316E-04
9.5000000E-01	-5.3386E-03	-5.4677E-02
9.6000000E-01	-7.6977E-03	-1.0729E-01
9.7000000E-01	-9.0045E-03	-1.5162E-01
9.8000000E-01	-9.1241E-03	-1.8126E-01
9.9000000E-01	-7.9631E-03	-1.9227E-01
1.0000000E+00	-5.6707E-03	-1.8366E-01
1.0100000E+00	-2.6484E-03	-1.5565E-01
1.0200000E+00	7.5493E-04	-1.1235E-01
1.0300000E+00	4.0057E-03	-5.9388E-02
1.0400000E+00	6.7247E-03	-4.1056E-03
1.0500000E+00	8.6158E-03	4.6549E-02
1.0600000E+00	9.3667E-03	8.5545E-02
1.0700000E+00	8.8870E-03	1.0817E-01
1.0800000E+00	7.1963E-03	1.1119E-01
1.0900000E+00	4.5116E-03	9.4234E-02
1.1000000E+00	1.3294E-03	5.9593E-02
1.1100000E+00	-2.0291E-03	1.2281E-02
1.1200000E+00	-5.0475E-03	-4.1652E-02
1.1300000E+00	-7.5096E-03	-9.4637E-02
1.1400000E+00	-8.8576E-03	-1.3929E-01
1.1500000E+00	-9.0309E-03	-1.6994E-01
1.1600000E+00	-7.9330E-03	-1.8229E-01
1.1700000E+00	-5.7490E-03	-1.7461E-01
1.1800000E+00	-2.7063E-03	-1.4764E-01
1.1900000E+00	6.0737E-04	-1.0535E-01
1.2000000E+00	3.8567E-03	-5.2760E-02
1.2100000E+00	6.6416E-03	2.5643E-03
1.2200000E+00	8.5903E-03	5.3888E-02
1.2300000E+00	9.3905E-03	9.3855E-02
1.2400000E+00	9.0033E-03	1.1752E-01
1.2500000E+00	7.3357E-03	1.2152E-01
1.2600000E+00	4.7202E-03	1.0554E-01
1.2700000E+00	1.5813E-03	7.1947E-02
1.2800000E+00	-1.7547E-03	2.5293E-02
1.2900000E+00	-4.8516E-03	-2.8321E-02
1.3000000E+00	-7.3342E-03	-8.1647E-02
1.3100000E+00	-8.7517E-03	-1.2695E-01
1.3200000E+00	-8.9913E-03	-1.5862E-01
1.3300000E+00	-7.9744E-03	-1.7228E-01
1.3400000E+00	-5.8150E-03	-1.6564E-01
1.3500000E+00	-2.7762E-03	-1.3965E-01
1.3600000E+00	5.3390E-04	-9.7992E-02
1.3700000E+00	3.7099E-03	-4.6042E-02
1.3800000E+00	6.5122E-03	9.5455E-03
1.3900000E+00	8.5412E-03	6.1215E-02
1.4000000E+00	9.4214E-03	1.0185E-01
1.4100000E+00	9.0972E-03	1.2650E-01
1.4200000E+00	7.5207E-03	1.3185E-01
1.4300000E+00	4.9449E-03	1.1686E-01
1.4400000E+00	1.7975E-03	8.4231E-02
1.4500000E+00	-1.4884E-03	3.8275E-02
1.4600000E+00	-4.6118E-03	-1.5355E-02
1.4700000E+00	-7.1045E-03	-6.8664E-02
1.4800000E+00	-8.6180E-03	-1.1461E-01
1.4900000E+00	-8.9373E-03	-1.4730E-01
1.5000000E+00	-8.0370E-03	-1.6194E-01
1.5100000E+00	-5.9069E-03	-1.5662E-01
1.5200000E+00	-2.9904E-03	-1.3165E-01
1.5300000E+00	3.0877E-04	-9.0702E-02
1.5400000E+00	3.5691E-03	-3.9073E-02
1.5500000E+00	6.4247E-03	1.6213E-02
1.5600000E+00	8.4228E-03	6.8222E-02
1.5700000E+00	9.3865E-03	1.0984E-01
1.5800000E+00	9.1406E-03	1.3550E-01
1.5900000E+00	7.6761E-03	1.4218E-01
1.6000000E+00	5.1863E-03	1.2854E-01
1.6100000E+00	2.0084E-03	9.6559E-02
1.6200000E+00	-1.2573E-03	5.1296E-02
1.6300000E+00	-4.4158E-03	-2.0091E-03
1.6400000E+00	-6.9386E-03	-5.5657E-02
1.6500000E+00	-8.5424E-03	-1.0228E-01
1.6600000E+00	-8.8982E-03	-1.3594E-01
1.6700000E+00	-8.0412E-03	-1.5162E-01
1.6800000E+00	-6.0140E-03	-1.4730E-01
1.6900000E+00	-3.1500E-03	-1.2366E-01
1.7000000E+00	1.1680E-04	-8.3692E-02
1.7100000E+00	3.4130E-03	-3.2420E-02
1.7200000E+00	6.2924E-03	2.3246E-02
1.7300000E+00	8.3619E-03	7.5517E-02
1.7400000E+00	9.4046E-03	1.1784E-01
1.7500000E+00	9.2343E-03	1.4451E-01
1.7600000E+00	7.8241E-03	1.5218E-01
1.7700000E+00	5.3237E-03	1.3986E-01
1.7800000E+00	2.2528E-03	1.0889E-01
1.7900000E+00	-1.0292E-03	6.3937E-02
1.8000000E+00	-4.1779E-03	1.0973E-02
1.8100000E+00	-6.7376E-03	-4.2676E-02
1.8200000E+00	-8.3751E-03	-8.9931E-02
1.8300000E+00	-8.8572E-03	-1.2428E-01
1.8400000E+00	-8.0762E-03	-1.4130E-01
1.8500000E+00	-6.0858E-03	-1.3834E-01
1.8600000E+00	-3.2692E-03	-1.1568E-01
1.8700000E+00	3.6858E-06	-7.6379E-02
1.8800000E+00	3.3288E-03	-2.5423E-02
1.8900000E+00	6.1823E-03	2.9889E-02
1.9000000E+00	8.2963E-03	8.2539E-02
1.9100000E+00	9.4238E-03	1.2584E-01
1.9200000E+00	9.3352E-03	1.5348E-01
1.9300000E+00	7.9873E-03	1.6217E-01
1.9400000E+00	5.5412E-03	1.5087E-01
1.9500000E+00	2.4757E-03	1.2120E-01
1.9600000E+00	-7.9349E-04	7.6930E-02
1.9700000E+00	-3.9584E-03	2.4311E-02
1.9800000E+00	-6.5904E-03	-2.9671E-02
1.9900000E+00	-8.2939E-03	-7.7629E-02
2.0000000E+00	-8.8067E-03	-1.1296E-01
2.0100000E+00	-8.0425E-03	-1.3063E-01
2.0200000E+00	-6.1776E-03	-1.2895E-01
2.0300000E+00	-3.4030E-03	-1.0735E-01
2.0400000E+00	-1.3710E-04	-6.9029E-02
2.0500000E+00	3.1513E-03	-1.8747E-02
2.0600000E+00	6.0817E-03	3.6538E-02
2.0700000E+00	8.2624E-03	8.9843E-02
2.0800000E+00	9.3860E-03	1.3352E-01
2.0900000E+00	9.4172E-03	1.6250E-01
2.1000000E+00	8.1519E-03	1.7250E-01
2.1100000E+00	5.7543E-03	1.6220E-01
2.1200000E+00	2.6838E-03	1.3321E-01
